Month,Brand Name,Campaign Name,Creator Name,Insta Url,Reel Link,Views,Likes,Comments,Autodm Activated,Autodm Clicks,Meesho Mall Orders,Meesho Orders,Meesho Mall GMV,Meesho GMV,Last Sync Status,Last Synced At
September 2026,Meesho Mall Fashion,Festive Fashion Carnival,Kritika Khurana,https://instagram.com/thatbohogirl,https://www.instagram.com/reel/C3x9L0PvtY1/,1250000,84500,3200,42000,18500,340,620,425000,680000,SUCCESS,2026-09-07 14:30
September 2026,Meesho Mall Fashion,Festive Fashion Carnival,Komal Pandey,https://instagram.com/komalpandey7,https://www.instagram.com/reel/C4a1K2MxyZ2/,2100000,142000,5800,68000,31200,510,890,688000,1050000,SUCCESS,2026-09-07 14:30
September 2026,Meesho Mall Fashion,GenZ Style Drops,Roshni Bhatia,https://instagram.com/thechiquecurator,https://www.instagram.com/reel/C2b8N9OpqW3/,890000,56000,1950,28500,11400,210,430,273000,490000,SUCCESS,2026-09-07 14:30
September 2026,Meesho Mall Beauty,Glow Up Festival,Ishita Mangal,https://instagram.com/ishitamangal,https://www.instagram.com/reel/C5d3P4QmnR4/,1750000,118000,4300,54000,24800,420,730,546000,820000,SUCCESS,2026-09-07 14:30
August 2026,Meesho Mall Fashion,GenZ Style Drops,Sejal Kumar,https://instagram.com/sejalkumar1194,https://www.instagram.com/reel/C1m7K8LzxA5/,650000,41000,1400,19000,7800,145,310,188500,341000,SUCCESS,2026-08-28 11:20
August 2026,Meesho Mall Beauty,Skincare Essentials,Tarini Shah,https://instagram.com/tarini_shah,https://www.instagram.com/reel/C3v6M5OpbC6/,980000,67000,2800,31000,14200,265,480,331250,552000,SUCCESS,2026-08-28 11:20
August 2026,Meesho Mall Home & Electronics,Smart Home Upgrade,Vishnu Kaushal,https://instagram.com/thevishnukaushal,https://www.instagram.com/reel/C4x8P9LmnE7/,1420000,98000,3900,45000,19600,310,590,387500,660000,SUCCESS,2026-08-28 11:20
July 2026,Meesho Mall Beauty,Glow Up Festival,Sufi Motiwala,https://instagram.com/sufimotiwala,https://www.instagram.com/reel/C5y9Q1PqrF8/,810000,52000,2100,26000,10800,195,380,243750,425000,SUCCESS,2026-07-15 16:45
July 2026,Meesho Mall Fashion,Festive Fashion Carnival,Sakshi Shivdasani,https://instagram.com/sakshishivdasani,https://www.instagram.com/reel/C2z4R2MxyG9/,1150000,79000,3400,37000,16500,290,520,362500,598000,SUCCESS,2026-07-15 16:45
July 2026,Meesho Mall Home & Electronics,Tech Deals Week,Juhi Godambe,https://instagram.com/juhigodambe,https://www.instagram.com/reel/C3a7S3NpqH0/,730000,46000,1650,22500,9400,170,340,212500,382500,SUCCESS,2026-07-15 16:45
